brand,model,category,source,sourceType,sourceId
Samsung,BD-J5100," Blu-Ray & DVD Players",Office Depot,retailer,4
Panasonic,DVD-S500," Blu-Ray & DVD Players",Office Depot,retailer,4
LG,DP132," Blu-Ray & DVD Players",Office Depot,retailer,4
Hyundai,,Android Tablets,Office Depot,retailer,4
Hyundai,,Android Tablets,Office Depot,retailer,4
NuVision,TM800A730M,Android Tablets,Office Depot,retailer,4
Hyundai,HT0702W08,Android Tablets,Office Depot,retailer,4
GPX,D200B," Blu-Ray & DVD Players",Office Depot,retailer,4
Hyundai,HT1003X16,Android Tablets,Office Depot,retailer,4
Hyundai,HT1002W16,Android Tablets,Office Depot,retailer,4
Samsung,SM-T350NZWAXAR,Android Tablets,Office Depot,retailer,4
Hyundai,HT0702W08,Android Tablets,Office Depot,retailer,4
Samsung,HT-J5500W,Home Theater Systems,Office Depot,retailer,4
Samsung,HT-J4500,Home Theater Systems,Office Depot,retailer,4
Acer,B1-850-K1KK,Android Tablets,Office Depot,retailer,4
ASUS,Z380M-A2-GR,Android Tablets,Office Depot,retailer,4
Hyundai,HT1002W16,Android Tablets,Office Depot,retailer,4
Hyundai,HT1003X16,Android Tablets,Office Depot,retailer,4
Hyundai,HT0702W08,Android Tablets,Office Depot,retailer,4
Zeepad,7DRK,Android Tablets,Office Depot,retailer,4
Samsung,SM-T820,Android Tablets,Office Depot,retailer,4
Hyundai,Koral 10XK,Android Tablets,Office Depot,retailer,4
Hyundai,,Android Tablets,Office Depot,retailer,4
Samsung,SM-T350NZAAXAR,Android Tablets,Office Depot,retailer,4
Samsung,SM-T820,Android Tablets,Office Depot,retailer,4
ASUS,Z300M-A2-GD,Android Tablets,Office Depot,retailer,4
Samsung,SM-T280NZWAXAR,Android Tablets,Office Depot,retailer,4
Samsung,SM-T580NZKAXAR,Android Tablets,Office Depot,retailer,4
Samsung,SM-T380NZKEXAR,Android Tablets,Office Depot,retailer,4
Zeepad,7DRK,Android Tablets,Office Depot,retailer,4
ASUS,Z500M-C1-GR,Android Tablets,Office Depot,retailer,4
HP,,Android Tablets,Office Depot,retailer,4
HP,,Android Tablets,Office Depot,retailer,4
Hyundai,HT0702W08,Android Tablets,Office Depot,retailer,4
Zeepad,7DRK-Q,Android Tablets,Office Depot,retailer,4
ASUS,Z301M-A2-GR,Android Tablets,Office Depot,retailer,4
Samsung,SM-T380NZSEXAR,Android Tablets,Office Depot,retailer,4
Supersonic,SC-35HT,Home Theater Systems,Office Depot,retailer,4
