brand,model,url,category,source,sourceType,sourceId
LINSAY,F10XHDBCBLUE,https://www.kmart.com/linsay-10.1inch-new-quad-core-w-blue-leather/p-00305796000P?plpSellerId=Kmart&prdNo=30&blockNo=30&blockType=G30,Android Tablets,Kmart,retailer,5
LINSAY,F10XHDKIDSPINK,https://www.kmart.com/linsay-10.1inch-new-kids-funny-tab-with-pink/p-00357735000P?plpSellerId=Kmart&prdNo=31&blockNo=31&blockType=G31,Android Tablets,Kmart,retailer,5
LINSAY,F7XHDBP,https://www.kmart.com/linsay-7inch-new-quad-core-1024-x-600/p-00350404000P?plpSellerId=Kmart&prdNo=33&blockNo=33&blockType=G33,Android Tablets,Kmart,retailer,5
LINSAY,F7XIPSCG,https://www.kmart.com/linsay-7inch-quad-core-1280x800-ips-screen-tablet/p-00360975000P?plpSellerId=Kmart&prdNo=34&blockNo=34&blockType=G34,Android Tablets,Kmart,retailer,5
LINSAY,F7XHDKIDSGREEN,https://www.kmart.com/linsay-7inch-new-kids-funny-tab-with-green/p-00357960000P?plpSellerId=Kmart&prdNo=32&blockNo=32&blockType=G32,Android Tablets,Kmart,retailer,5
LINSAY,F7XIPSCPL,https://www.kmart.com/linsay-7inch-quad-core-1280x800-ips-screen-tablet/p-00360976000P?plpSellerId=Kmart&prdNo=35&blockNo=35&blockType=G35,Android Tablets,Kmart,retailer,5
Visual,ME9Q8KC-RED,https://www.kmart.com/visual-land-prestige-elite-9q-red-9inch-tablet/p-00350626000P?plpSellerId=Kmart&prdNo=37&blockNo=37&blockType=G37,Android Tablets,Kmart,retailer,5
LINSAY,F10XHDP,https://www.kmart.com/linsay-10.1inch-new-capacitive-tablet-1024-x-600/p-00340144000P?plpSellerId=Kmart&prdNo=23&blockNo=23&blockType=G23,Android Tablets,Kmart,retailer,5
Visual,ME10QL16KCBLK,https://www.kmart.com/visual-land-prestige-elite-10ql-quad-core-16gb/p-00355448000P?plpSellerId=Kmart&prdNo=36&blockNo=36&blockType=G36,Android Tablets,Kmart,retailer,5
LINSAY,F7XHDCKBAG,https://www.kmart.com/linsay-7inch-new-quad-core-with-black-leather/p-00357969000P?plpSellerId=Kmart&prdNo=38&blockNo=38&blockType=G38,Android Tablets,Kmart,retailer,5
LINSAY,F7XIPSCR,https://www.kmart.com/linsay-7inch-quad-core-1280x800-ips-screen-tablet/p-00360009000P?plpSellerId=Kmart&prdNo=39&blockNo=39&blockType=G39,Android Tablets,Kmart,retailer,5
Visual,ME11QKC32MAG,https://www.kmart.com/visual-land-prestige-elite-11q-quad-core-32gb/p-00355647000P?plpSellerId=Kmart&prdNo=40&blockNo=40&blockType=G40,Android Tablets,Kmart,retailer,5
Visual,ME10QS16GBKCBLU,https://www.kmart.com/visual-land-prestige-elite-10qs-quad-core-16gb/p-00355451000P?plpSellerId=Kmart&prdNo=41&blockNo=41&blockType=G41,Android Tablets,Kmart,retailer,5
Visual,ME10QL16KCBLU,https://www.kmart.com/visual-land-prestige-elite-10ql-quad-core-16gb/p-00355447000P?plpSellerId=Kmart&prdNo=42&blockNo=42&blockType=G42,Android Tablets,Kmart,retailer,5
Visual,8QIDC16PP,https://www.kmart.com/visual-land-prestige-elite-8qi-purple-8inch-quadcore/p-00359393000P?plpSellerId=Kmart&prdNo=43&blockNo=43&blockType=G43,Android Tablets,Kmart,retailer,5
LINSAY,F10XHDBCLBROWN,https://www.kmart.com/linsay-10.1inch-new-quad-core-w-brown-leather/p-00357675000P?plpSellerId=Kmart&prdNo=45&blockNo=45&blockType=G45,Android Tablets,Kmart,retailer,5
Visual,ME-10D-16GB-PNK,https://www.kmart.com/visual-land-prestige-pro-10d-pink-16gb-android/p-00346018000P?plpSellerId=Kmart&prdNo=46&blockNo=46&blockType=G46,Android Tablets,Kmart,retailer,5
Visual,ME-7Q-16GB-F-MAG,https://www.kmart.com/visual-land-prestige-elite-famtab-magenta-7inch-with/p-00350610000P?plpSellerId=Kmart&prdNo=47&blockNo=47&blockType=G47,Android Tablets,Kmart,retailer,5
Visual,ME-109-D-8GB-BLK,https://www.kmart.com/prestige-pro-9d-8gb-android-4.2-google-play/p-00347492000P?plpSellerId=Kmart&prdNo=48&blockNo=48&blockType=G48,Android Tablets,Kmart,retailer,5
LINSAY,F7XHDKIDSP,https://www.kmart.com/linsay-7inch-new-kids-quad-core-cpu-1024/p-00348516000P?plpSellerId=Kmart&prdNo=50&blockNo=50&blockType=G50,Android Tablets,Kmart,retailer,5
LINSAY,F7XHDBKZEBRA,https://www.kmart.com/linsay-7inch-new-quadcore-exclusive-bundle-with-zebra/p-00357630000P?plpSellerId=Kmart&prdNo=49&blockNo=49&blockType=G49,Android Tablets,Kmart,retailer,5
LINSAY,F10XHDBCBLUE,https://www.kmart.com/linsay-10.1inch-new-quad-core-w-blue-leather/p-00305796000P?plpSellerId=Kmart&prdNo=1&blockNo=1&blockType=G1,Android Tablets,Kmart,retailer,5
Visual,ME-10D-16GB-PRP,https://www.kmart.com/visual-land-prestige-pro-10d-purple-16gb-android/p-00346021000P?plpSellerId=Kmart&prdNo=2&blockNo=2&blockType=G2,Android Tablets,Kmart,retailer,5
Visual,ME-7Q-16GB-F-RED,https://www.kmart.com/visual-land-prestige-elite-famtab-red-7inch-with/p-00350630000P?plpSellerId=Kmart&prdNo=3&blockNo=3&blockType=G3,Android Tablets,Kmart,retailer,5
LINSAY,F10XHDKIDSBLUE,https://www.kmart.com/linsay-new-linsay-10.1-inch-f-10xhd4kids-with/p-00351498000P?plpSellerId=Kmart&prdNo=4&blockNo=4&blockType=G4,Android Tablets,Kmart,retailer,5
Visual,ME-109-D-8GB-PRP,https://www.kmart.com/visual-land-prestige-pro-9d-purple-8gb-android/p-00347494000P?plpSellerId=Kmart&prdNo=5&blockNo=5&blockType=G5,Android Tablets,Kmart,retailer,5
LINSAY,F7XHDKIDSP,https://www.kmart.com/linsay-7inch-new-kids-quad-core-cpu-1024/p-00348516000P?plpSellerId=Kmart&prdNo=6&blockNo=6&blockType=G6,Android Tablets,Kmart,retailer,5
LINSAY,F7XHDBKZEBRA,https://www.kmart.com/linsay-7inch-new-quadcore-exclusive-bundle-with-zebra/p-00357630000P?plpSellerId=Kmart&prdNo=7&blockNo=7&blockType=G7,Android Tablets,Kmart,retailer,5
LINSAY,F7XIPSCLBL,https://www.kmart.com/linsay-7inch-quad-core-1280x800-ips-screen-tablet/p-00360977000P?plpSellerId=Kmart&prdNo=8&blockNo=8&blockType=G8,Android Tablets,Kmart,retailer,5
Visual,ME9Q8KC-PNK,https://www.kmart.com/visual-land-prestige-elite-9q-pink-9inch-tablet/p-00350617000P?plpSellerId=Kmart&prdNo=44&blockNo=44&blockType=G44,Android Tablets,Kmart,retailer,5
Visual,ME11QKC32BLU,https://www.kmart.com/visual-land-prestige-elite-11q-quad-core-32gb/p-00355641000P?plpSellerId=Kmart&prdNo=10&blockNo=10&blockType=G10,Android Tablets,Kmart,retailer,5
LINSAY,F7XIPSCPW,https://www.kmart.com/linsay-7inch-quad-core-1280x800-ips-screen-tablet/p-00360978000P?plpSellerId=Kmart&prdNo=9&blockNo=9&blockType=G9,Android Tablets,Kmart,retailer,5
Visual,ME10QS16GBKCBLK,https://www.kmart.com/visual-land-prestige-elite-10qs-quad-core-16gb/p-00355452000P?plpSellerId=Kmart&prdNo=12&blockNo=12&blockType=G12,Android Tablets,Kmart,retailer,5
Visual,ME11QKC32BLK,https://www.kmart.com/visual-land-prestige-elite-11q-quad-core-32gb/p-00355642000P?plpSellerId=Kmart&prdNo=11&blockNo=11&blockType=G11,Android Tablets,Kmart,retailer,5
Visual,ME10Q8KCPRP,https://www.kmart.com/visual-land-prestige-elite-10q-purple-10inch-tablet/p-00350623000P?plpSellerId=Kmart&prdNo=15&blockNo=15&blockType=G15,Android Tablets,Kmart,retailer,5
Supersonic,97084986M,https://www.kmart.com/supersonic-7inch-android-4.1-touch-screen-tablet-with/p-00345936000P?plpSellerId=Kmart&prdNo=14&blockNo=14&blockType=G14,Android Tablets,Kmart,retailer,5
Visual,ME10QL16KCRED,https://www.kmart.com/visual-land-prestige-elite-10ql-quad-core-16gb/p-00355449000P?plpSellerId=Kmart&prdNo=18&blockNo=18&blockType=G18,Android Tablets,Kmart,retailer,5
LINSAY,F10XIPSBDG,https://www.kmart.com/linsay-10.1inch-quad-core-1280x800-ips-screen-tablet/p-00359817000P?plpSellerId=Kmart&prdNo=16&blockNo=16&blockType=G16,Android Tablets,Kmart,retailer,5
LINSAY,F10XIPSBCLBROWN,https://www.kmart.com/linsay-10.1inch-quad-core-1280x800-ips-screen-tablet/p-00359807000P?plpSellerId=Kmart&prdNo=17&blockNo=17&blockType=G17,Android Tablets,Kmart,retailer,5
Naxa,970104828M,https://www.kmart.com/naxa-970104828m-9-8221-core-tablet-with-android-os/p-A023584780?plpSellerId=Kmart&prdNo=21&blockNo=21&blockType=G21,Android Tablets,Kmart,retailer,5
Visual,ME-7Q-16GB-F-BLK,https://www.kmart.com/visual-land-prestige-elite-famtab-black-7inch-with/p-00350591000P?plpSellerId=Kmart&prdNo=26&blockNo=26&blockType=G26,Android Tablets,Kmart,retailer,5
Visual,ME8QIBP16GBBLK,https://www.kmart.com/visual-land-prestige-elite-8qi-quad-core-16gb/p-00355444000P?plpSellerId=Kmart&prdNo=19&blockNo=19&blockType=G19,Android Tablets,Kmart,retailer,5
Visual,ME-10D-16GB-BLU,https://www.kmart.com/visual-land-prestige-pro-10d-blue-16gb-android/p-00304602000P?plpSellerId=Kmart&prdNo=28&blockNo=28&blockType=G28,Android Tablets,Kmart,retailer,5
LINSAY,F-10XHD4,https://www.kmart.com/linsay-10.1inch-linsay-f-10hd2core-dual-core-cpu/p-00344976000P?plpSellerId=Kmart&prdNo=23&blockNo=23&blockType=G23,Android Tablets,Kmart,retailer,5
LINSAY,F10XHDBCLBROWN,https://www.kmart.com/linsay-10.1inch-new-quad-core-w-brown-leather/p-00357675000P?plpSellerId=Kmart&prdNo=22&blockNo=22&blockType=G22,Android Tablets,Kmart,retailer,5
Visual,ME-7Q-16GB-F-GRN,https://www.kmart.com/visual-land-prestige-elite-famtab-green-7inch-with/p-00350629000P?plpSellerId=Kmart&prdNo=24&blockNo=24&blockType=G24,Android Tablets,Kmart,retailer,5
LINSAY,F7XHDBC,https://www.kmart.com/linsay-7inch-linsay-f-7hd2core-bundle-dual-core/p-00344975000P?plpSellerId=Kmart&prdNo=30&blockNo=30&blockType=G30,Android Tablets,Kmart,retailer,5
LINSAY,F10XHDKIDSPINK,https://www.kmart.com/linsay-10.1inch-new-kids-funny-tab-with-pink/p-00357735000P?plpSellerId=Kmart&prdNo=25&blockNo=25&blockType=G25,Android Tablets,Kmart,retailer,5
Visual,ME-7Q-8GB-RED,https://www.kmart.com/visual-land-prestige-elite-7q-7in-tablet-with/p-00348096000P?plpSellerId=Kmart&prdNo=27&blockNo=27&blockType=G27,Android Tablets,Kmart,retailer,5
Visual,8QIDC16TT,https://www.kmart.com/visual-land-prestige-elite-8qi-turquoise-8inch-quadcore/p-00359391000P?plpSellerId=Kmart&prdNo=20&blockNo=20&blockType=G20,Android Tablets,Kmart,retailer,5
Zeepad,PNK-7DRK-Q-KEY,https://www.kmart.com/zeepad-7inch-zeepad-7drk-q-android-4.4-kitkat/p-SPM9189666017?plpSellerId=Tablet World&prdNo=33&blockNo=33&blockType=G33,Android Tablets,Kmart,retailer,5
LINSAY,F7XIPSKIDSR,https://www.kmart.com/linsay-7inch-kids-funny-1280x800-ips-screen-tablet/p-00360008000P?plpSellerId=Kmart&prdNo=29&blockNo=29&blockType=G29,Android Tablets,Kmart,retailer,5
LINSAY,F7XHDBP,https://www.kmart.com/linsay-7inch-new-quad-core-1024-x-600/p-00350404000P?plpSellerId=Kmart&prdNo=31&blockNo=31&blockType=G31,Android Tablets,Kmart,retailer,5
Zeepad,BLU-7DRK-Q-GC,https://www.kmart.com/zeepad-7inch-zeepad-7drk-q-android-4.4-quad/p-SPM9189664817?plpSellerId=Tablet World&prdNo=34&blockNo=34&blockType=G34,Android Tablets,Kmart,retailer,5
woPad,Wopad-KIDS-BLU,https://www.kmart.com/wopad-7inch-wopad-kitkat-google-android-4.4-dual/p-SPM9189650017?plpSellerId=Tablet World&prdNo=32&blockNo=32&blockType=G32,Android Tablets,Kmart,retailer,5
FLYTOUCH,FLYTOUCH-10XR,https://www.kmart.com/flytouch-10inch-flytouchxr-google-android-4.4-quad-core/p-SPM9190168517?plpSellerId=Tablet World&prdNo=35&blockNo=35&blockType=G35,Android Tablets,Kmart,retailer,5
Zeepad,10XR-Q,https://www.kmart.com/zeepad-10.1inch-google-android-5.1-lollipop-rockchip-quad/p-SPM9488450617?plpSellerId=Tablet World&prdNo=36&blockNo=36&blockType=G36,Android Tablets,Kmart,retailer,5
Naxa,970104827M,https://www.kmart.com/naxa-970104827m-7-8221-core-tablet-with-android-os/p-A023584799?plpSellerId=MyGoods&prdNo=37&blockNo=37&blockType=G37,Android Tablets,Kmart,retailer,5
woPad,WOPAD-KIDS-PNK,https://www.kmart.com/wopad-7inch-wopad-kitkat-google-android-4.4-dual/p-SPM9189649717?plpSellerId=Tablet World&prdNo=38&blockNo=38&blockType=G38,Android Tablets,Kmart,retailer,5
Zeepad,BLU-7DRK-Q-KEY,https://www.kmart.com/zeepad-7inch-zeepad-7drk-q-android-4.4-quad/p-SPM9189665617?plpSellerId=Tablet World&prdNo=39&blockNo=39&blockType=G39,Android Tablets,Kmart,retailer,5
LINSAY,F7XHDEP,https://www.kmart.com/linsay-7inch-new-quad-core-cpu-1024x600-1gb/p-00342852000P?plpSellerId=Tech For Less LLC&prdNo=40&blockNo=40&blockType=G40,Android Tablets,Kmart,retailer,5
Zeepad,7DRK-Q-RED,https://www.kmart.com/zeepad-new-7inch-zeepad-7drk-q-android-4.4/p-SPM9341754717?plpSellerId=Tablet World&prdNo=41&blockNo=41&blockType=G41,Android Tablets,Kmart,retailer,5
Zeepad,7DRK-Q-GRN,https://www.kmart.com/zeepad-new-7inch-zeepad-7drk-q-android-4.4/p-SPM9341754517?plpSellerId=Tablet World&prdNo=42&blockNo=42&blockType=G42,Android Tablets,Kmart,retailer,5
SAMSUNG,SM-T813NZKEXAR,https://www.kmart.com/samsung-sm-t813nzkexar-galaxy-tab-s2-32gb-9.7/p-SPM12283819305?plpSellerId=BuyDigcom&prdNo=43&blockNo=43&blockType=G43,Android Tablets,Kmart,retailer,5
LINSAY,F10XIPSBK,https://www.kmart.com/linsay-10.1inch-quad-core-1280x800-ips-screen-tablet/p-00359818000P?plpSellerId=Kmart&prdNo=45&blockNo=45&blockType=G45,Android Tablets,Kmart,retailer,5
HP,M5H11UT#ABA,https://www.kmart.com/hp-pro-slate-10-ee-intel-atom/p-SPM10344990218?plpSellerId=Tech For Less LLC&prdNo=47&blockNo=47&blockType=G47,Android Tablets,Kmart,retailer,5
ASUS,90NP01M1-M01330,https://www.kmart.com/asus-zenpad-s-tablet-intel-atom-z3530/p-SPM10349130718?plpSellerId=Edealszone LLC&prdNo=46&blockNo=46&blockType=G46,Android Tablets,Kmart,retailer,5
Visual,ME11QKC32RED,https://www.kmart.com/visual-land-prestige-elite-11q-quad-core-32gb/p-00355643000P?plpSellerId=Kmart&prdNo=49&blockNo=49&blockType=G49,Android Tablets,Kmart,retailer,5
Barnes,9.78e+12,https://www.kmart.com/barnes-noble-nook-hd-9inch-16gb-wi-fi/p-SPM7086762204?plpSellerId=Action Packaged Inc&prdNo=48&blockNo=48&blockType=G48,Android Tablets,Kmart,retailer,5
Coby,MID7036_4,https://www.kmart.com/coby-mid7036-4-7inch-4gb-16-9-tablet/p-SPM13539900219?plpSellerId=Action Packaged Inc&prdNo=50&blockNo=50&blockType=G50,Android Tablets,Kmart,retailer,5
Visual,ME10QS16GBKCMAG,https://www.kmart.com/visual-land-prestige-elite-10qs-quad-core-16gb/p-00355450000P?plpSellerId=Kmart&prdNo=1&blockNo=1&blockType=G1,Android Tablets,Kmart,retailer,5
Visual,ME10QS16GBKCRED,https://www.kmart.com/visual-land-prestige-elite-10qs-quad-core-16gb/p-00355453000P?plpSellerId=Kmart&prdNo=2&blockNo=2&blockType=G2,Android Tablets,Kmart,retailer,5
Nabi,SNJR-MT05C-WHUS,https://www.kmart.com/mattel-775a5950-nabi-jr-tablet/p-SPM14201100311?plpSellerId=zabiva&prdNo=3&blockNo=3&blockType=G3,Android Tablets,Kmart,retailer,5
LINSAY,F10KGWG,https://www.kmart.com/linsay-10inch-kids-green-funny-tab-with-1.5/p-00358015000P?plpSellerId=Kmart&prdNo=5&blockNo=5&blockType=G5,Android Tablets,Kmart,retailer,5
ASUS,Z380M-A2-GR,https://www.kmart.com/asus-8inch-ips-2gb-16gb-android-5.0-tvs/p-SPM11577120725?plpSellerId=DigitalShopper&prdNo=4&blockNo=4&blockType=G4,Android Tablets,Kmart,retailer,5
ASUS,TF300TL-B1-BL,https://www.kmart.com/asus-transformer-tf300-t-b1-bl-10.1-inch/p-SPM2346129914?plpSellerId=Action Packaged Inc&prdNo=44&blockNo=44&blockType=G44,Android Tablets,Kmart,retailer,5
ZTPAD,TP11,https://www.kmart.com/ztpad-google-android-4.0-10-quot-pc-tablet-8gb/p-SPM7769928113?plpSellerId=Action Packaged Inc&prdNo=6&blockNo=6&blockType=G6,Android Tablets,Kmart,retailer,5
iView®,97085200M,https://www.kmart.com/iview-reg-7inch-android-4.2-dual-core-dual-camera/p-00345934000P?plpSellerId=Kmart&prdNo=7&blockNo=7&blockType=G7,Android Tablets,Kmart,retailer,5
Supersonic,SC-999BT,https://www.kmart.com/supersonic-sc-999bt-9-quad-core-tablet/p-SPM8711536423?plpSellerId=Overstockcom&prdNo=8&blockNo=8&blockType=G8,Android Tablets,Kmart,retailer,5
Zeki,TBDV986W,https://www.kmart.com/zeki-9inch-tablet-w-dvd-player-8gb-and/p-020W004489406001P?plpSellerId=MyGoods&prdNo=9&blockNo=9&blockType=G9,Android Tablets,Kmart,retailer,5
Visual,ME10Q8KCMAG,https://www.kmart.com/visual-land-prestige-elite-10q-magenta-10inch-tablet/p-00350599000P?plpSellerId=Kmart&prdNo=10&blockNo=10&blockType=G10,Android Tablets,Kmart,retailer,5
LINSAY,F10KBWB,https://www.kmart.com/linsay-10inch-kids-blue-funny-tab-with-1.5/p-00358013000P?plpSellerId=Kmart&prdNo=11&blockNo=11&blockType=G11,Android Tablets,Kmart,retailer,5
LINSAY,F10XIPSCKBAG,https://www.kmart.com/linsay-10.1inch-quad-core-1280x800-ips-screen-tablet/p-00359821000P?plpSellerId=Kmart&prdNo=12&blockNo=12&blockType=G12,Android Tablets,Kmart,retailer,5
